ma_to_hop,ten_to_hop,mon_1,mon_2,mon_3
M08,Khối M8,Ngữ văn,NK,Hát
M09,Khối M9,Toán,NK,Hát
M10,Khối M10,Toán,NK,Đọc
M11,Khối M11,Ngữ văn,NK,Đọc
M26,Khối M26,0,0,0
M27,Khối M27,0,0,0
M28,Khối M28,0,0,0
M29,Khối M29,0,0,0
M30,Khối M30,0,0,0
N00,Khối N,Ngữ văn,Âm nhạc,NK
N01,Khối N1,Ngữ văn,Hát,Nhạc cụ
N02,Khối N2,Ngữ văn,Xướng âm,Hát
N03,Khối N3,Ngữ văn,Ghi âm,Hát
N04,Khối N4,Ngữ văn,Nhạc cụ,Hát
N05,Khối N5,Ngữ văn,Xướng âm,Hát
N06,Khối N6,Ngữ văn,Nhạc lí,Hát
N07,Khối N7,Ngữ văn,Piano,Hát
R01,Khối R1,Ngữ văn,Lịch sử,NK
R02,Khối R2,Ngữ văn,Địa lí,NK
R03,Khối R3,Ngữ văn,Tiếng Anh,NK
R04,Khối R4,Ngữ văn,GDCD,NK
S00,Khối S,Ngữ văn,NK SKĐA 1,NK SKĐA 2
T00,Khối T,Toán,Sinh học,Năng khiếu
T01,Khối T1,Toán,Ngữ văn,Năng khiếu
T02,Khối T2,Ngữ văn,Sinh học,Năng khiếu
T03,Khối T3,Ngữ văn,Địa lí,Năng khiếu
T04,Khối T4,Toán,Vật lí,Năng khiếu
T05,Khối T5,Ngữ văn,GDCD,Năng khiếu
T06,Khối T6,Toán,Địa lí,Năng khiếu
T07,Khối T7,Toán,Hóa học,Năng khiếu
T08,Khối T8,Sinh học,Hóa học,Năng khiếu
T09,Khối T9,Toán,Lịch sử,Năng khiếu
T10,Khối T10,Toán,GDCD,Năng khiếu
T11,Khối T11,Ngữ văn,Vật lí,Năng khiếu
T12,Khối T12,Ngữ văn,Hóa học,Năng khiếu
TH9,Khối TH9,Ngữ văn,Tiếng Anh,Tin học
V00,Khối V,Toán,Vật lí,Vẽ
V01,Khối V1,Toán,Ngữ văn,Vẽ
V02,Khối V2,Toán,Tiếng Anh,Vẽ
V03,Khối V3,Toán,Hóa học,Vẽ
V04,Khối V4,Toán,Sinh học,Vẽ
V05,Khối V5,Ngữ văn,Vật lí,Vẽ
V06,Khối V6,Toán,Địa lí,Vẽ
V07,Khối V7,Toán,Tiếng Đức,Vẽ
V08,Khối V8,Toán,Tiếng Nga,Vẽ
V09,Khối V9,Toán,Tiếng Nhật,Vẽ
V10,Khối V10,Toán,Tiếng Trung,Vẽ
V11,Khối V11,Toán,Tiếng Pháp,Vẽ
X01,Khối X1,Ngữ văn,Toán,GDKTPL
X02,Khối X2,Toán,Ngữ văn,Tin học
X03,Khối X3,Toán,Ngữ văn,Công nghệ công nghiệp
X04,Khối X4,Toán,Ngữ văn,Công nghệ nông nghiệp
X05,Khối X5,Toán,Vật lí,GDKTPL
X06,Khối X6,Toán,Vật lí,Tin học
X07,Khối X7,Toán,Vật lí,Công nghệ công nghiệp
X08,Khối X8,Toán,Vật lí,Công nghệ nông nghiệp
X09,Khối X9,Toán,Hóa học,GDKTPL
X10,Khối X10,Toán,Hóa học,Tin học
X11,Khối X11,Toán,Hóa học,Công nghệ công nghiệp
X12,Khối X12,Toán,Hóa học,Công nghệ nông nghiệp
X13,Khối X13,Toán,Sinh học,GDKTPL
X14,Khối X14,Toán,Sinh học,Tin học
X15,Khối X15,Toán,Sinh học,Công nghệ công nghiệp
X16,Khối X16,Toán,Sinh học,Công nghệ nông nghiệp
X17,Khối X17,Toán,Lịch sử,GDKTPL
X18,Khối X18,Toán,Lịch sử,Tin học
X19,Khối X19,Toán,Lịch sử,Công nghệ công nghiệp
X20,Khối X20,Toán,Lịch sử,Công nghệ nông nghiệp
X21,Khối X21,Toán,Địa lí,GDKTPL
X22,Khối X22,Toán,Địa lí,Tin học
X23,Khối X23,Toán,Địa lí,Công nghệ công nghiệp
X24,Khối X24,Toán,Địa lí,Công nghệ nông nghiệp
X25,Khối X25,Toán,Tiếng Anh,GDKTPL
X26,Khối X26,Toán,Tiếng Anh,Tin học
X27,Khối X27,Toán,Tiếng Anh,Công nghệ công nghiệp
X28,Khối X28,Toán,Tiếng Anh,Công nghệ nông nghiệp
X33,Khối X33,0,0,0
X37,Khối X37,0,0,0
X46,Khối X46,Toán,Tiếng Nhật,Tin học
X53,Khối X53,Toán,GDKTPL,Tin học
X54,Khối X54,Toán,GDKTPL,Công nghệ công nghiệp
X55,Khối X55,Toán,GDKTPL,Công nghệ nông nghiệp
X56,Khối X56,Toán,Tin học,Công nghệ công nghiệp
X57,Khối X57,Toán,Tin học,Công nghệ nông nghiệp
X58,Khối X58,Ngữ văn,Vật lí,GDKTPL
X59,Khối X59,Ngữ văn,Vật lí,Tin học
X60,Khối X60,Ngữ văn,Vật lí,Công nghệ công nghiệp
X61,Khối X61,Ngữ văn,Vật lí,Công nghệ nông nghiệp
X62,Khối X62,Ngữ văn,Hóa học,GDKTPL
X63,Khối X63,Ngữ văn,Hóa học,Tin học
X64,Khối X64,Ngữ văn,Hóa học,Công nghệ công nghiệp
X65,Khối X65,Ngữ văn,Hóa học,Công nghệ nông nghiệp
X66,Khối X66,Ngữ văn,Sinh học,GDKT&PL
X67,Khối X67,Ngữ văn,Sinh học,Tin học
X68,Khối X68,Ngữ văn,Sinh học,Công nghệ công nghiệp
X69,Khối X69,Ngữ văn,Sinh học,Công nghệ nông nghiệp
X70,Khối X70,Ngữ văn,Lịch sử,GDKTPL
X71,Khối X71,Ngữ văn,Lịch sử,Tin học
X72,Khối X72,Ngữ văn,Lịch sử,Công nghệ công nghiệp
X73,Khối X73,Ngữ văn,Lịch sử,Công nghệ nông nghiệp
X74,Khối X74,Ngữ văn,Địa lí,GDKTPL
X75,Khối X75,Ngữ văn,Địa lí,Tin học
X76,Khối X76,Ngữ văn,Địa lí,Công nghệ công nghiệp
X77,Khối X77,Ngữ văn,Địa lí,Công nghệ nông nghiệp
X78,Khối X78,Ngữ văn,GDKTPL,Tiếng Anh
X79,Khối X79,Ngữ văn,Tiếng Anh,Tin học
X80,Khối X80,Ngữ văn,Tiếng Anh,Công nghệ công nghiệp
X81,Khối X81,Ngữ văn,Tiếng Anh,Công nghệ nông nghiệp
X82,Khối X82,0,0,0
X86,Khối X86,Ngữ văn,GDKTPL,Tiếng Pháp
X90,Khối X90,Ngữ văn,GDKTPL,Tiếng Trung
X91,Khối X91,0,0,0
X94,Khối X94,Ngữ văn,GDKTPL,Tiếng Đức
X98,Khối X98,Ngữ văn,GDKTPL,Tiếng Nhật
XD01,Khối XD01,0,0,0
XI1,Khối XI1,0,0,0
XI9,Khối XI9,0,0,0
Y03,Khối Y3,0,0,0
Y07,Khối Y7,Ngữ văn,GDKTPL,Tin học
Y08,Khối Y8,Ngữ văn,GDKTPL,Công nghệ công nghiệp
Y09,Khối Y9,Ngữ văn,GDKTPL,Công nghệ nông nghiệp
